Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code SHOPIFY Plus,Cost Per Item
A187-9F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_d919d18a-e27b-4ab8-8d70-7ff9ca4d33a6.jpg,2,,,,,,,,
A187-9F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_5620d0a9-30e5-416a-8b66-8ad9cb1db68e.jpg,3,,,,,,,,
A187-9F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_ed06f666-470c-4229-b3cd-943b2d1e4fd5.jpg,4,,,,,,,,
A187-11F,IMG Jungle 66% het Sharp Albino 50% het Anery,,Motion Reptiles,,,TRUE,Sex,Female,DOB,May/30/2020,,,A187-11F,0,shopify,1,continue,manual,1000,1000,TRUE,FALSE,A187-11F,http://files.motiontradingcorp.com/0_9bdeceaa-dba1-4987-adb7-94aae41f6f3b.jpg,1,IMG Jungle 66% het Sharp Albino 50% het Anery,FALSE,IMG Jungle 66% het Sharp Albino 50% het Anery,IMG Jungle 66% het Sharp Albino 50% het Anery,,,,1000
A187-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_82721e17-e22b-40c3-86dc-a8cbdeedaeff.jpg,2,,,,,,,,
A187-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_a3a1c5c0-9d0a-4a66-98ef-d184342dd191.jpg,3,,,,,,,,
A187-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_fb6f2c51-be3f-4010-80fc-33a1f749f9e6.jpg,4,,,,,,,,
A182-3M,IMG Jungle 66% het VPI T+,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Apr/22/2020,,,A182-3M,0,shopify,1,continue,manual,1350,1350,TRUE,FALSE,A182-3M,http://files.motiontradingcorp.com/0_760a3999-bc16-4b43-a211-a7a52bc4ca98.jpg,1,IMG Jungle 66% het VPI T+,FALSE,IMG Jungle 66% het VPI T+,IMG Jungle 66% het VPI T+,,,,1350
A182-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_4e3b6df0-cd3c-4913-8071-9c86296ecc1e.jpg,2,,,,,,,,
A182-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_660baa36-fd45-4431-bac9-2ca99ff7f696.jpg,3,,,,,,,,
A182-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_59a88c79-8177-4f48-89a7-6d5a56cf8bc4.jpg,4,,,,,,,,
A194-10F,IMG Motley 50% het Anery,,Motion Reptiles,,,TRUE,Sex,Female,DOB,Jul/10/2020,,,A194-10F,0,shopify,1,continue,manual,1250,1250,TRUE,FALSE,A194-10F,http://files.motiontradingcorp.com/0_603d5548-4df5-4439-ba9d-ac815745ac29.jpg,1,IMG Motley 50% het Anery,FALSE,IMG Motley 50% het Anery,IMG Motley 50% het Anery,,,,1250
A194-10F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_3f58a8b2-7fa9-47dc-991b-22fe1ebb09bd.jpg,2,,,,,,,,
A194-10F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_26c3e1b6-9d81-476f-9b26-694e400df890.jpg,3,,,,,,,,
A194-10F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_3392fb33-d20d-46b2-a40f-f2d782ecd2e5.jpg,4,,,,,,,,
A194-10F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_d5880984-cefd-425e-a412-421eff5b18a1.jpg,5,,,,,,,,
A194-11F,IMG Motley 50% het Anery,,Motion Reptiles,,,TRUE,Sex,Female,DOB,Jul/10/2020,,,A194-11F,0,shopify,1,continue,manual,1250,1250,TRUE,FALSE,A194-11F,http://files.motiontradingcorp.com/0_32339142-6fa9-4709-856c-451439cd3e95.jpg,1,IMG Motley 50% het Anery,FALSE,IMG Motley 50% het Anery,IMG Motley 50% het Anery,,,,1250
A194-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_48b07f04-cfde-4b61-b9fb-243622288d0d.jpg,2,,,,,,,,
A194-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_a5494185-9f61-40cd-9cf1-6bdcfbe0bc2d.jpg,3,,,,,,,,
A194-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_9729734e-c776-439e-8f67-b7e8b592c1d4.jpg,4,,,,,,,,
A194-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_a9c1ccf2-1390-48ba-a6e0-bb38a416bfab.jpg,5,,,,,,,,
A184-17M,IMG possible Jungle 66% het VPI T,,Motion Reptiles,,,TRUE,Sex,Male,DOB,May/12/2020,,,A184-17M,0,shopify,1,continue,manual,950,950,TRUE,FALSE,A184-17M,http://files.motiontradingcorp.com/0_6a7a1a45-999f-4b38-b6d3-0bdb00adb221.jpg,1,IMG possible Jungle 66% het VPI T,FALSE,IMG possible Jungle 66% het VPI T,IMG possible Jungle 66% het VPI T,,,,950
A184-17M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_5baf1563-0ca9-4c81-8a5d-e2c050e9e8f2.jpg,2,,,,,,,,
A184-17M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_0038bdd0-99d9-4309-80fe-96635b2c2a40.jpg,3,,,,,,,,
A184-17M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_68386a0b-16d3-4744-9b19-30a214413718.jpg,4,,,,,,,,
A187-15F,IMG Sharp Albino Jungle,,Motion Reptiles,,,TRUE,Sex,Female,DOB,May/30/2020,,,A187-15F,0,shopify,1,continue,manual,2000,2000,TRUE,FALSE,A187-15F,http://files.motiontradingcorp.com/0_ff64d229-8fd1-4f40-babe-5311079261fb.jpg,1,IMG Sharp Albino Jungle,FALSE,IMG Sharp Albino Jungle,IMG Sharp Albino Jungle,,,,2000
A187-15F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_5fbd0a70-4864-4f53-80e0-69a3d167fda3.jpg,2,,,,,,,,
A187-15F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_b0c92523-5aef-4c53-bba5-ddc9988b6316.jpg,3,,,,,,,,
A187-15F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_2bcfb3b4-384c-4d6c-b623-f0aa73942595.jpg,4,,,,,,,,
A187-15F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_d0cc4e37-9542-4f62-be5d-2fb983739f31.jpg,5,,,,,,,,
A187-3M,IMG Sharp Sunglow Jungle,,Motion Reptiles,,,TRUE,Sex,Male,DOB,May/30/2020,,,A187-3M,0,shopify,1,continue,manual,3000,3000,TRUE,FALSE,A187-3M,http://files.motiontradingcorp.com/0_c8876cdd-efce-42f4-a6cd-25e1cf1c5d4c.jpg,1,IMG Sharp Sunglow Jungle,FALSE,IMG Sharp Sunglow Jungle,IMG Sharp Sunglow Jungle,,,,3000
A187-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_3be727a1-e5bf-422a-bb0c-742ca493dcc5.jpg,2,,,,,,,,
A187-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_0843146e-0373-4011-9abf-e2617d12d99e.jpg,3,,,,,,,,
A187-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_02babdae-83f8-4115-bd8e-2226d195538b.jpg,4,,,,,,,,
A187-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_655d3fbd-3f80-44f7-8f23-1de95b380c74.jpg,5,,,,,,,,
A195-7F,IMG VPI T+,,Motion Reptiles,,,TRUE,Sex,Female,DOB,Jul/17/2020,,,A195-7F,0,shopify,1,continue,manual,3250,3250,TRUE,FALSE,A195-7F,http://files.motiontradingcorp.com/0_0a93d027-802b-4551-b7a3-fc64730de571.jpg,1,IMG VPI T+,FALSE,IMG VPI T+,IMG VPI T+,,,,3250
A195-7F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_62a0fbf9-d350-43cf-b1b9-ec7bbc57bca8.jpg,2,,,,,,,,
A195-7F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_30fa6aec-73b9-4423-8953-1392cca44f72.jpg,3,,,,,,,,
A195-7F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_3c3fecc6-2921-4965-b97e-a8958c1c89d2.jpg,4,,,,,,,,
A190-10F,Lipstick Albino Jungle,,Motion Reptiles,,,TRUE,Sex,Female,DOB,Jun/17/2020,,,A190-10F,0,shopify,1,continue,manual,400,400,TRUE,FALSE,A190-10F,http://files.motiontradingcorp.com/0_9f4afec8-d997-4b98-a95b-b9e14ef8debc.jpg,1,Lipstick Albino Jungle,FALSE,Lipstick Albino Jungle,Lipstick Albino Jungle,,,,400
A190-10F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_bd3d2b09-7657-49f7-9936-6486d6f40a01.jpg,2,,,,,,,,
A190-10F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_5636dbf9-f858-48de-8ca7-6b3d86bcba5a.jpg,3,,,,,,,,
A190-10F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_8c881a38-6982-4e9f-ad39-f469998f8ef1.jpg,4,,,,,,,,
A190-7F,Lipstick Albino Jungle,,Motion Reptiles,,,TRUE,Sex,Female,DOB,Jun/17/2020,,,A190-7F,0,shopify,1,continue,manual,450,450,TRUE,FALSE,A190-7F,http://files.motiontradingcorp.com/0_9d1b318d-4a38-4f43-a9e2-92bcedc23daf.jpg,1,Lipstick Albino Jungle,FALSE,Lipstick Albino Jungle,Lipstick Albino Jungle,,,,450
A190-7F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_7204ac19-98f4-4d7f-870f-89fb2f89a713.jpg,2,,,,,,,,
A190-7F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_62b24f74-aff8-4339-8558-4a9f6d3be1f9.jpg,3,,,,,,,,
A190-8F,Lipstick Albino possible Jungle,,Motion Reptiles,,,TRUE,Sex,Female,DOB,Jun/17/2020,,,A190-8F,0,shopify,1,continue,manual,350,350,TRUE,FALSE,A190-8F,http://files.motiontradingcorp.com/0_76b71524-e1bb-48b6-9bb0-6a2cd2ffcd27.jpg,1,Lipstick Albino possible Jungle,FALSE,Lipstick Albino possible Jungle,Lipstick Albino possible Jungle,,,,350
A190-8F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_c4a56ca0-30b8-47d6-92b6-294ddc02162b.jpg,2,,,,,,,,
A190-8F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_58da9764-a5b2-4427-ba04-3547522a93e0.jpg,3,,,,,,,,
A181-13M,Lipstick Possible Super Sunglow Jungle,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Mar/24/2020,,,A181-13M,0,shopify,1,continue,manual,550,550,TRUE,FALSE,A181-13M,http://files.motiontradingcorp.com/0_22d4f405-105e-4835-9a5f-fd26de04e199.jpg,1,Lipstick Possible Super Sunglow Jungle,FALSE,Lipstick Possible Super Sunglow Jungle,Lipstick Possible Super Sunglow Jungle,,,,550
A181-13M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_773c3ca3-e002-41ef-a063-994d05868739.jpg,2,,,,,,,,
A181-13M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_95f61b34-ae44-46c8-b186-1f30f8b8449c.jpg,3,,,,,,,,
A181-13M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_d9433233-a910-4d5f-a8fa-a17d7bf72457.jpg,4,,,,,,,,
A181-10M,Lipstick Possible Super Sunglow Jungle,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Mar/24/2020,,,A181-10M,0,shopify,1,continue,manual,500,500,TRUE,FALSE,A181-10M,http://files.motiontradingcorp.com/0_b1f0860f-fcdd-449c-93b9-e0957c51d3c9.jpg,1,Lipstick Possible Super Sunglow Jungle,FALSE,Lipstick Possible Super Sunglow Jungle,Lipstick Possible Super Sunglow Jungle,,,,500
A181-10M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_d0062d1b-7493-411b-83a4-ec685720487a.jpg,2,,,,,,,,
A181-10M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_ab7c6b16-80d5-4cd5-8e84-61d2fabfb8b1.jpg,3,,,,,,,,
A181-10M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_9a551f6d-402c-4dbe-a3f7-d25e5c88401c.jpg,4,,,,,,,,
A181-10M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_4254740a-4228-4961-ab7b-93a25a3c88f6.jpg,5,,,,,,,,
A188-10M,Lipstick Possible Super Sunglow Possible Jungle,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Jun/1/2020,,,A188-10M,0,shopify,1,continue,manual,450,450,TRUE,FALSE,A188-10M,http://files.motiontradingcorp.com/0_e36f88fb-878f-4cf4-bb14-f85e62768dcf.jpg,1,Lipstick Possible Super Sunglow Possible Jungle,FALSE,Lipstick Possible Super Sunglow Possible Jungle,Lipstick Possible Super Sunglow Possible Jungle,,,,450
A188-10M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_b6512b99-6cc3-4480-8e32-e1a322520c19.jpg,2,,,,,,,,
A188-10M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_023908a2-7e8b-46f1-a176-39e2fd703496.jpg,3,,,,,,,,
A1955-2M,Lipstick Sunglow,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Aug/4/2020,,,A1955-2M,0,shopify,1,continue,manual,465,465,TRUE,FALSE,A1955-2M,http://files.motiontradingcorp.com/0_0ea645c7-70f7-45d6-af02-78e1034d78e6.jpg,1,Lipstick Sunglow,FALSE,Lipstick Sunglow,Lipstick Sunglow,,,,465
A1955-2M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_0c0efbf9-c63d-4775-97e5-3b738143444f.jpg,2,,,,,,,,
A1955-2M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_09cbcf0d-376f-46b6-bd05-173fb5cb4670.jpg,3,,,,,,,,
A1955-2M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_b26b6387-c499-4eec-95eb-fcfae7c35003.jpg,4,,,,,,,,
A1955-2M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_39f19df7-84fc-4f61-b17c-26d93f68ae66.jpg,5,,,,,,,,
A185-4M,Lipstick Sunglow Jungle,,Motion Reptiles,,,TRUE,Sex,Male,DOB,May/7/2020,,,A185-4M,0,shopify,1,continue,manual,600,600,TRUE,FALSE,A185-4M,http://files.motiontradingcorp.com/0_0f9ca45b-d543-4986-b2a0-6f256645ddd5.jpg,1,Lipstick Sunglow Jungle,FALSE,Lipstick Sunglow Jungle,Lipstick Sunglow Jungle,,,,600
A185-4M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_9768286f-fda4-48d0-9e45-a17a554ee6b8.jpg,2,,,,,,,,
A185-2M,Lipstick Sunglow Jungle,,Motion Reptiles,,,TRUE,Sex,Male,DOB,May/7/2020,,,A185-2M,0,shopify,1,continue,manual,600,600,TRUE,FALSE,A185-2M,http://files.motiontradingcorp.com/0_4e493c01-ca1d-4c60-b7ae-576c2faee3c5.jpg,1,Lipstick Sunglow Jungle,FALSE,Lipstick Sunglow Jungle,Lipstick Sunglow Jungle,,,,600
A185-2M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_3e946771-4299-459c-b6ec-31a273a1f815.jpg,2,,,,,,,,
A181-17M,Possible Super Sunglow Jungle,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Mar/24/2020,,,A181-17M,0,shopify,1,continue,manual,550,550,TRUE,FALSE,A181-17M,http://files.motiontradingcorp.com/0_63250ad7-74af-4dc4-ad2f-9449e950177e.jpg,1,Possible Super Sunglow Jungle,FALSE,Possible Super Sunglow Jungle,Possible Super Sunglow Jungle,,,,550
A181-17M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_8c645c76-cce3-47fe-b794-8318afc8d9e7.jpg,2,,,,,,,,
A189-2F,VPI T+ Motley,,Motion Reptiles,,,TRUE,Sex,Female,DOB,Jun/4/2020,,,A189-2F,0,shopify,1,continue,manual,800,800,TRUE,FALSE,A189-2F,http://files.motiontradingcorp.com/0_bdbf9ad3-8a1a-4c71-a688-c7b14648a849.jpg,1,VPI T+ Motley,FALSE,VPI T+ Motley,VPI T+ Motley,,,,800
A189-2F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_b9f4d692-054e-4e55-9f67-b0127e1dccc4.jpg,2,,,,,,,,
A189-2F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_bf8fdb9d-3a08-4f05-b180-f4375ec3f9cf.jpg,3,,,,,,,,
A189-2F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_226d1ef2-ab21-46b9-b180-7c4f75c10d7b.jpg,4,,,,,,,,
A189-2F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_9a952329-8e14-4844-ad18-bad6fe55781b.jpg,5,,,,,,,,
A191-5F,VPI T+ Sunglow,,Motion Reptiles,,,TRUE,Sex,Female,DOB,Jun/16/2020,,,A191-5F,0,shopify,1,continue,manual,650,650,TRUE,FALSE,A191-5F,http://files.motiontradingcorp.com/0_66195832-bc03-4bb9-beec-f7182a2b4809.jpg,1,VPI T+ Sunglow,FALSE,VPI T+ Sunglow,VPI T+ Sunglow,,,,650
A191-5F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_9453344a-410a-4cdf-ae97-2140a40f726e.jpg,2,,,,,,,,
A191-5F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_a36ae17c-593e-4e1c-ab83-4e0b4860cd0d.jpg,3,,,,,,,,
A191-5F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_4d26b6b6-9786-4425-a272-e14748a7a558.jpg,4,,,,,,,,
A191-8M,VPI T+ Sunglow,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Jun/16/2020,,,A191-8M,0,shopify,1,continue,manual,650,650,TRUE,FALSE,A191-8M,http://files.motiontradingcorp.com/0_31f5342f-4c5f-44c4-94c0-0300f8589ec3.jpg,1,VPI T+ Sunglow,FALSE,VPI T+ Sunglow,VPI T+ Sunglow,,,,650
A191-8M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_2f613aa1-f603-4709-a08a-e99e532fccb5.jpg,2,,,,,,,,
A191-8M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_17169527-58a8-4282-bb85-41a820014f9d.jpg,3,,,,,,,,
A191-8M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_df921514-c487-47fd-8de4-ae9df89ae3e9.jpg,4,,,,,,,,
A191-8M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_64bd25cf-ce6e-448a-b845-ea6abab74956.jpg,5,,,,,,,,
A159-3M,VPI T+ Motley,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Jun/14/2018,,,A159-3M,0,shopify,1,continue,manual,800,800,TRUE,FALSE,A159-3M,http://files.motiontradingcorp.com/0_4fb5b662-4429-47d2-954d-9b408f569f57.jpg,1,VPI T+ Motley,FALSE,VPI T+ Motley,VPI T+ Motley,,,,800
A159-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_97236873-5487-47b5-81aa-f7d148cf6b8a.jpg,2,,,,,,,,
A159-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_a723b470-f811-4919-9ae7-cc08b691a781.jpg,3,,,,,,,,
A159-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_3fffd641-bf5b-4493-81c9-b6e5a0c113b4.jpg,4,,,,,,,,
A159-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_012abfc7-34ab-4d6f-bb14-d7191877916e.jpg,5,,,,,,,,
